epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,6291.53,0.4503,1.3454,0.27262,0.33756,0.96741,0.99987,1,0.995,0.9739,0.99987,1,0.995,0.86597,0.27137,0.55914,0.18198,0.2515,0.82522,0.0009308,0.0009308,0.0009308
56,6354.95,0.44763,1.24737,0.26884,0.33101,0.96097,0.99988,1,0.995,0.97315,0.99988,1,0.995,0.88632,0.27336,0.52323,0.18418,0.23767,0.82,0.000911,0.000911,0.000911
57,6413.68,0.44188,1.14584,0.26029,0.33394,0.9555,0.99988,1,0.995,0.95994,0.99988,1,0.995,0.89168,0.29343,0.48187,0.1812,0.24012,0.84377,0.0008912,0.0008912,0.0008912
58,6499.46,0.42499,1.195,0.25949,0.32228,0.95197,0.99988,1,0.995,0.97227,0.99577,0.99588,0.99311,0.88491,0.28492,0.49063,0.175,0.25502,0.84248,0.0008714,0.0008714,0.0008714
59,6550.68,0.43266,1.23987,0.25405,0.32105,0.96033,0.99988,1,0.995,0.96672,0.99371,0.99383,0.98932,0.87385,0.286,0.53943,0.17146,0.25049,0.83342,0.0008516,0.0008516,0.0008516
60,6594.26,0.43726,1.21763,0.25219,0.33474,0.96023,0.99895,1,0.995,0.96507,0.99279,0.99383,0.99037,0.85945,0.28225,0.56931,0.18053,0.23434,0.8232,0.0008318,0.0008318,0.0008318
61,6641.48,0.42557,1.28416,0.2565,0.3221,0.94891,0.99981,1,0.995,0.9735,0.99981,1,0.995,0.88285,0.26818,0.51938,0.1825,0.22747,0.81516,0.000812,0.000812,0.000812
62,6741.47,0.4158,1.10965,0.25305,0.3157,0.957,0.99987,1,0.995,0.9702,0.99987,1,0.995,0.92616,0.26213,0.43549,0.17744,0.22142,0.81995,0.0007922,0.0007922,0.0007922
63,6823.74,0.42609,1.09452,0.25289,0.31537,0.95073,0.99986,1,0.995,0.97117,0.99986,1,0.995,0.92496,0.26026,0.39299,0.17691,0.2189,0.81025,0.0007724,0.0007724,0.0007724
64,6890.32,0.42042,0.98832,0.24984,0.30899,0.94521,0.99988,1,0.995,0.97619,0.99988,1,0.995,0.9379,0.25922,0.35436,0.17497,0.221,0.80933,0.0007526,0.0007526,0.0007526
65,6959.52,0.41961,0.94814,0.24949,0.31093,0.9524,0.99987,1,0.995,0.98363,0.99987,1,0.995,0.93656,0.25217,0.35545,0.16717,0.22372,0.8187,0.0007328,0.0007328,0.0007328
66,7018.43,0.40348,0.94594,0.24211,0.31434,0.93795,0.99988,1,0.995,0.97615,0.99988,1,0.995,0.93973,0.25438,0.36239,0.17146,0.22089,0.81636,0.000713,0.000713,0.000713
67,7085.68,0.39028,0.90862,0.24627,0.29801,0.93521,0.99988,1,0.995,0.98294,0.99988,1,0.995,0.94543,0.24154,0.33971,0.16637,0.21997,0.81244,0.0006932,0.0006932,0.0006932
68,7148.21,0.40176,0.84365,0.23367,0.29427,0.93598,0.99988,1,0.995,0.9818,0.99988,1,0.995,0.95445,0.25062,0.30624,0.16795,0.21883,0.8085,0.0006734,0.0006734,0.0006734
69,7207.52,0.39669,0.81261,0.24607,0.30445,0.94113,0.99987,1,0.995,0.97453,0.99987,1,0.995,0.92923,0.26314,0.35598,0.16307,0.21842,0.81547,0.0006536,0.0006536,0.0006536
70,7276.17,0.39952,0.94828,0.24633,0.30606,0.94194,0.99988,1,0.995,0.97851,0.99988,1,0.995,0.94816,0.25928,0.32588,0.16655,0.21673,0.82499,0.0006338,0.0006338,0.0006338
71,7345.88,0.38706,0.90055,0.2335,0.30115,0.93286,0.99988,1,0.995,0.9854,0.99988,1,0.995,0.94196,0.24025,0.35605,0.17613,0.20378,0.80702,0.000614,0.000614,0.000614
72,7405.96,0.38433,0.88182,0.23346,0.29352,0.93852,0.99988,1,0.995,0.98242,0.99988,1,0.995,0.96587,0.26212,0.28327,0.17267,0.20795,0.81054,0.0005942,0.0005942,0.0005942
73,7478.32,0.38199,0.85053,0.2436,0.30116,0.93091,0.99988,1,0.995,0.98375,0.99988,1,0.995,0.96576,0.23319,0.29739,0.16748,0.20188,0.79624,0.0005744,0.0005744,0.0005744
74,7545,0.37574,0.83548,0.24771,0.29733,0.9221,0.99983,1,0.995,0.98297,0.99983,1,0.995,0.94833,0.2305,0.32258,0.1667,0.20452,0.79762,0.0005546,0.0005546,0.0005546
75,7669.72,0.36773,0.82601,0.23867,0.29654,0.92218,0.99988,1,0.995,0.9871,0.99988,1,0.995,0.95626,0.21376,0.29842,0.15951,0.20076,0.79604,0.0005348,0.0005348,0.0005348
76,7731.89,0.37987,0.85752,0.23487,0.29751,0.92725,0.99987,1,0.995,0.98318,0.99987,1,0.995,0.95241,0.22858,0.30396,0.1632,0.19393,0.79941,0.000515,0.000515,0.000515
77,7780.83,0.36432,0.7518,0.24025,0.27651,0.93126,0.99988,1,0.995,0.98619,0.99988,1,0.995,0.95965,0.22053,0.29096,0.1678,0.18996,0.796,0.0004952,0.0004952,0.0004952
78,7879.8,0.36434,0.79498,0.23805,0.27862,0.92039,0.99988,1,0.995,0.98753,0.99988,1,0.995,0.95407,0.21637,0.30401,0.16151,0.19719,0.79763,0.0004754,0.0004754,0.0004754
79,7974.86,0.36052,0.75667,0.23045,0.28096,0.91711,0.99988,1,0.995,0.9743,0.99988,1,0.995,0.97341,0.2525,0.26448,0.15703,0.20981,0.81034,0.0004556,0.0004556,0.0004556
