epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,736.767,0.74319,4.97339,0.43902,0.52917,0.95498,0.98962,1,0.995,0.90344,0.33326,0.33663,0.26271,0.03676,0.49911,5.58906,0.14892,0.43692,0.84682,0.000636762,0.000636762,0.000636762
58,750.204,0.81556,5.00111,0.46458,0.53587,0.97711,0.98955,1,0.99441,0.87344,0.35271,0.35644,0.17978,0.02308,0.63082,5.62253,0.14326,0.48206,0.89466,0.000622615,0.000622615,0.000622615
59,764.478,0.7447,5.37742,0.3954,0.50298,0.94467,0.98959,1,0.99294,0.876,0.44093,0.44554,0.2861,0.03844,0.59185,5.53198,0.15397,0.42986,0.8705,0.000608468,0.000608468,0.000608468
60,778.84,0.78682,5.39496,0.50398,0.52811,0.97203,0.98961,1,0.99294,0.91494,0.44091,0.44554,0.29352,0.04087,0.47814,5.56893,0.15614,0.42316,0.85032,0.000594321,0.000594321,0.000594321
61,792.699,0.72818,5.58527,0.41537,0.51158,0.93227,0.98962,1,0.99314,0.88877,0.44092,0.44554,0.31852,0.0449,0.52133,5.57152,0.15355,0.43689,0.85542,0.000580174,0.000580174,0.000580174
62,805.169,0.72339,5.37063,0.42769,0.50384,0.92629,0.98961,1,0.99363,0.90531,0.37233,0.37624,0.31781,0.03923,0.48457,5.53953,0.14843,0.42532,0.84329,0.000566027,0.000566027,0.000566027
63,817.797,0.64986,5.02058,0.45403,0.49039,0.93109,0.98961,1,0.99314,0.92302,0.31357,0.31683,0.27767,0.03803,0.43459,5.50426,0.15211,0.39313,0.82947,0.00055188,0.00055188,0.00055188
64,831.608,0.67578,5.69221,0.39743,0.49743,0.92973,0.98959,1,0.99314,0.91006,0.2294,0.22772,0.17928,0.02541,0.48647,5.62521,0.15204,0.44329,0.84323,0.000537733,0.000537733,0.000537733
65,845.28,0.68356,4.9209,0.45663,0.49909,0.92294,0.98959,1,0.99294,0.89535,0.30448,0.30693,0.22929,0.03568,0.51784,5.53978,0.14905,0.43933,0.85059,0.000523586,0.000523586,0.000523586
66,858,0.73137,5.19995,0.44872,0.51765,0.94923,0.9902,1,0.99294,0.89124,0.46078,0.46535,0.42675,0.05994,0.51598,5.49179,0.15128,0.39882,0.84022,0.000509438,0.000509438,0.000509438
67,872.721,0.7772,5.02496,0.46284,0.53374,1.00168,0.98958,1,0.99304,0.89862,0.34311,0.34653,0.26071,0.0402,0.49885,5.51604,0.15476,0.41248,0.84285,0.000495291,0.000495291,0.000495291
68,891.261,0.70513,4.92851,0.43358,0.48367,0.92551,0.9902,1,0.99284,0.92186,0.43137,0.43564,0.35473,0.05449,0.45116,5.48451,0.14998,0.39123,0.83499,0.000481144,0.000481144,0.000481144
69,906.96,0.67202,5.11471,0.44428,0.4807,0.9111,0.9902,1,0.99275,0.91497,0.45098,0.45545,0.40972,0.06402,0.46703,5.48216,0.15037,0.39944,0.83578,0.000466997,0.000466997,0.000466997
70,925.096,0.65725,5.17128,0.42413,0.45139,0.92179,0.9902,1,0.99255,0.91934,0.46078,0.46535,0.40941,0.05446,0.47134,5.52387,0.14545,0.39614,0.83534,0.00045285,0.00045285,0.00045285
71,962.328,0.65036,5.11896,0.40708,0.47587,0.93986,0.9902,1,0.99245,0.92059,0.44118,0.44554,0.39046,0.0559,0.45499,5.49866,0.1445,0.37329,0.83059,0.000438703,0.000438703,0.000438703
72,975.255,0.67134,5.29619,0.38349,0.46067,0.92551,0.98957,1,0.99314,0.92558,0.41153,0.41584,0.34306,0.04639,0.47799,5.55436,0.1402,0.39408,0.84359,0.000424556,0.000424556,0.000424556
73,987.265,0.65056,5.60819,0.41516,0.47437,0.93284,0.98958,1,0.99392,0.93083,0.34294,0.34653,0.26021,0.03176,0.46888,5.62334,0.13842,0.38082,0.83654,0.000410409,0.000410409,0.000410409
74,999.355,0.72033,5.21027,0.40477,0.5292,0.94519,0.98955,1,0.99451,0.92413,0.48812,0.46535,0.42145,0.05064,0.44643,5.51238,0.14045,0.36418,0.82673,0.000396262,0.000396262,0.000396262
75,1011.86,0.64415,5.13721,0.41368,0.45328,0.92844,0.98956,1,0.9948,0.89402,0.50771,0.47995,0.43194,0.05678,0.5197,5.44393,0.14483,0.3936,0.84385,0.000382115,0.000382115,0.000382115
76,1024.79,0.63406,5.08884,0.44505,0.47934,0.91688,0.98955,1,0.995,0.91155,0.46932,0.46535,0.33893,0.05493,0.48277,5.4594,0.1551,0.37751,0.84655,0.000367967,0.000367967,0.000367967
77,1037.02,0.60485,4.98274,0.42501,0.4442,0.92828,0.98957,1,0.995,0.91738,0.41213,0.41584,0.29275,0.05004,0.4654,5.51056,0.15972,0.36625,0.84284,0.00035382,0.00035382,0.00035382
78,1048.94,0.64604,5.38407,0.38807,0.47522,0.91655,0.98959,1,0.9949,0.92009,0.43123,0.43564,0.28572,0.04574,0.46224,5.45545,0.15619,0.37875,0.83349,0.000339673,0.000339673,0.000339673
79,1061.42,0.68791,5.09903,0.37146,0.47276,0.90093,0.98962,1,0.9949,0.92396,0.47038,0.47525,0.35024,0.05059,0.45974,5.41921,0.14919,0.37355,0.83459,0.000325526,0.000325526,0.000325526
80,1073.92,0.6142,5.06162,0.45686,0.43719,0.90667,0.98963,1,0.99461,0.92272,0.47036,0.47525,0.35395,0.04965,0.43305,5.37228,0.14328,0.36779,0.82529,0.000311379,0.000311379,0.000311379
81,1085.87,0.67072,5.31165,0.43789,0.46691,0.89471,0.98964,1,0.99441,0.92793,0.48992,0.49505,0.39379,0.05274,0.41458,5.37706,0.14105,0.37405,0.81907,0.000297232,0.000297232,0.000297232
82,1099.31,0.61236,5.0009,0.38435,0.44178,0.89942,0.98963,1,0.99422,0.92764,0.46052,0.46535,0.41639,0.05931,0.42039,5.365,0.13953,0.37021,0.82018,0.000283085,0.000283085,0.000283085
83,1115.09,0.60825,5.10871,0.42492,0.45161,0.90598,0.9902,1,0.99392,0.9278,0.51961,0.52475,0.48816,0.06982,0.44121,5.35608,0.1395,0.37295,0.82737,0.000268938,0.000268938,0.000268938
84,1128.15,0.63447,4.74525,0.4179,0.45936,0.89244,0.9902,1,0.99461,0.92716,0.53922,0.54455,0.48288,0.0705,0.42348,5.34623,0.14168,0.36896,0.82337,0.000254791,0.000254791,0.000254791
85,1141.2,0.61116,5.16984,0.41206,0.44953,0.8906,0.9902,1,0.99441,0.93023,0.52941,0.53465,0.47094,0.07171,0.41799,5.34839,0.14204,0.35429,0.82429,0.000240644,0.000240644,0.000240644
86,1153.52,0.6233,4.83144,0.39155,0.43009,0.9019,0.9902,1,0.99412,0.90013,0.51961,0.52475,0.44577,0.0681,0.50322,5.34038,0.14231,0.36699,0.84413,0.000226497,0.000226497,0.000226497
87,1168.39,0.642,4.7242,0.42951,0.43913,0.91527,0.9902,1,0.99451,0.93082,0.52941,0.53465,0.44016,0.06387,0.4337,5.32916,0.14187,0.34846,0.82798,0.000212349,0.000212349,0.000212349
88,1181.15,0.57385,5.51434,0.37247,0.41098,0.86615,0.9902,1,0.99422,0.91881,0.5,0.50495,0.40351,0.05933,0.41771,5.34566,0.13769,0.35268,0.82137,0.000198202,0.000198202,0.000198202
89,1197.86,0.65106,5.07125,0.42555,0.43383,0.91482,0.9902,1,0.99422,0.92928,0.45098,0.45545,0.35462,0.05228,0.40957,5.35699,0.1353,0.35219,0.81863,0.000184055,0.000184055,0.000184055
90,1210.67,0.62122,5.16669,0.4012,0.41689,0.90088,0.9902,1,0.99422,0.9314,0.43137,0.43564,0.34625,0.05069,0.43542,5.36617,0.13185,0.37789,0.82432,0.000169908,0.000169908,0.000169908
91,1224.52,0.47092,5.61741,0.13526,0.38917,0.86719,0.9902,1,0.99382,0.90859,0.5,0.50495,0.42859,0.05952,0.50131,5.32089,0.13135,0.40131,0.84678,0.000155761,0.000155761,0.000155761
92,1237.64,0.52746,5.54276,0.14667,0.39514,0.87332,0.9896,1,0.99333,0.91657,0.5683,0.57426,0.45718,0.06673,0.48625,5.2668,0.13392,0.39959,0.84931,0.000141614,0.000141614,0.000141614
93,1251.29,0.50864,5.53253,0.15517,0.38693,0.87624,0.98959,1,0.99324,0.92698,0.5487,0.55446,0.42391,0.0635,0.44146,5.25336,0.13559,0.3857,0.82909,0.000127467,0.000127467,0.000127467
94,1265.58,0.46947,5.59434,0.14877,0.37987,0.85999,0.98958,1,0.99392,0.92331,0.54874,0.55446,0.40794,0.0598,0.41595,5.2506,0.13496,0.37025,0.8146,0.00011332,0.00011332,0.00011332
95,1278.51,0.46701,5.53499,0.14416,0.36627,0.85294,0.98959,1,0.99412,0.92003,0.56834,0.57426,0.46976,0.06405,0.43433,5.24233,0.12938,0.36287,0.81881,9.91726e-05,9.91726e-05,9.91726e-05
96,1291.65,0.45264,5.47356,0.13819,0.36062,0.86275,0.98961,1,0.99392,0.91766,0.5977,0.60396,0.50799,0.0663,0.42545,5.22954,0.12649,0.36322,0.81954,8.50255e-05,8.50255e-05,8.50255e-05
97,1303.77,0.4866,5.53988,0.13159,0.37627,0.89348,0.98961,1,0.99402,0.92608,0.59769,0.60396,0.50132,0.0677,0.40895,5.21959,0.12645,0.35407,0.81609,7.08784e-05,7.08784e-05,7.08784e-05
98,1318.42,0.47943,5.46585,0.14063,0.35597,0.85981,0.98961,1,0.99402,0.93163,0.57809,0.58416,0.47081,0.06258,0.39115,5.21697,0.12584,0.35268,0.81174,5.67313e-05,5.67313e-05,5.67313e-05
99,1331.49,0.50856,5.46288,0.13914,0.36597,0.8651,0.98961,1,0.99402,0.92932,0.5781,0.58416,0.46701,0.06152,0.38392,5.21635,0.12537,0.35071,0.80786,4.25842e-05,4.25842e-05,4.25842e-05
100,1344.88,0.46936,5.53525,0.14171,0.35678,0.86462,0.98962,1,0.99402,0.93127,0.57809,0.58416,0.47174,0.06395,0.39235,5.2128,0.12465,0.3475,0.80808,2.84371e-05,2.84371e-05,2.84371e-05
